"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 10:51:13 GMT 2025","Wed Mar 19 10:51:16 GMT 2025","2838","edge. Tests for the sections: Sign Up, Login","","","","","TC_004: Should submit form with different name formats",""
"passed","Wed Mar 19 10:48:59 GMT 2025","Wed Mar 19 10:49:19 GMT 2025","20130","chrome. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 19 10:49:40 GMT 2025","Wed Mar 19 10:49:43 GMT 2025","3578","chrome. Tests for the sections: Sign Up, Login","","","","","TC_007: Should have red border color for empty required fields",""
"passed","Wed Mar 19 10:51:54 GMT 2025","Wed Mar 19 10:51:57 GMT 2025","3573","electron. Tests for the sections: Sign Up, Login","","","","","TC_004: Should submit form with different name formats",""
"passed","Wed Mar 19 10:51:45 GMT 2025","Wed Mar 19 10:51:54 GMT 2025","8254","electron. Tests for the sections: Sign Up, Login","","","","","TC_003: Should submit the form successfully with maximum valid input values",""
"passed","Wed Mar 19 10:50:19 GMT 2025","Wed Mar 19 10:50:22 GMT 2025","3426","firefox. Tests for the sections: Sign Up, Login","","","","","TC_004: Should submit form with different name formats",""
"passed","Wed Mar 19 10:50:49 GMT 2025","Wed Mar 19 10:51:01 GMT 2025","11962","edge. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 19 10:51:26 GMT 2025","Wed Mar 19 10:51:38 GMT 2025","12573","electron. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 19 10:49:26 GMT 2025","Wed Mar 19 10:49:35 GMT 2025","9038","chrome. Tests for the sections: Sign Up, Login","","","","","TC_003: Should submit the form successfully with maximum valid input values",""
"passed","Wed Mar 19 10:51:17 GMT 2025","Wed Mar 19 10:51:18 GMT 2025","1254","edge. Tests for the sections: Sign Up, Login","","","","","TC_007: Should have red border color for empty required fields",""
"passed","Wed Mar 19 10:49:56 GMT 2025","Wed Mar 19 10:50:07 GMT 2025","11269","firefox. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 19 10:50:11 GMT 2025","Wed Mar 19 10:50:19 GMT 2025","7843","firefox. Tests for the sections: Sign Up, Login","","","","","TC_003: Should submit the form successfully with maximum valid input values",""
"passed","Wed Mar 19 10:51:01 GMT 2025","Wed Mar 19 10:51:05 GMT 2025","3501","edge. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
"passed","Wed Mar 19 10:49:35 GMT 2025","Wed Mar 19 10:49:40 GMT 2025","4646","chrome. Tests for the sections: Sign Up, Login","","","","","TC_004: Should submit form with different name formats",""
"passed","Wed Mar 19 10:50:07 GMT 2025","Wed Mar 19 10:50:10 GMT 2025","3269","firefox. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
"passed","Wed Mar 19 10:51:05 GMT 2025","Wed Mar 19 10:51:13 GMT 2025","7746","edge. Tests for the sections: Sign Up, Login","","","","","TC_003: Should submit the form successfully with maximum valid input values",""
"passed","Wed Mar 19 10:51:58 GMT 2025","Wed Mar 19 10:51:59 GMT 2025","1580","electron. Tests for the sections: Sign Up, Login","","","","","TC_007: Should have red border color for empty required fields",""
"passed","Wed Mar 19 10:50:23 GMT 2025","Wed Mar 19 10:50:26 GMT 2025","2624","firefox. Tests for the sections: Sign Up, Login","","","","","TC_007: Should have red border color for empty required fields",""
"passed","Wed Mar 19 10:51:38 GMT 2025","Wed Mar 19 10:51:45 GMT 2025","6771","electron. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
"passed","Wed Mar 19 10:49:20 GMT 2025","Wed Mar 19 10:49:25 GMT 2025","5645","chrome. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
